label	sequence	code	agreement	type	reference	HYDDB
STM_0716_E_M_E069_A_bin.67_k121_1435476_6	STM_0716_E_M_E069_A_bin.67_k121_1435476_6	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_A_bin.45_k121_3227409_10	STM_0716_E_M_E069_A_bin.45_k121_3227409_10	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_A_bin.28_k121_662300_1	STM_0716_E_M_E069_A_bin.28_k121_662300_1	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_A_bin.22_k121_2203326_4	STM_0716_E_M_E069_A_bin.22_k121_2203326_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E065_A_bin.49_k121_2822279_39	STM_0716_E_M_E065_A_bin.49_k121_2822279_39	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E065_A_bin.37_k121_2856859_33	STM_0716_E_M_E065_A_bin.37_k121_2856859_33	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E061_A_bin.35_k121_707964_3	STM_0716_E_M_E061_A_bin.35_k121_707964_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E061_A_bin.35_k121_1582210_14	STM_0716_E_M_E061_A_bin.35_k121_1582210_14	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E061_A_bin.32_k121_1305792_9	STM_0716_E_M_E061_A_bin.32_k121_1305792_9	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E061_A_bin.22_k121_533111_5	STM_0716_E_M_E061_A_bin.22_k121_533111_5	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E061_A_bin.16_k121_1766522_1	STM_0716_E_M_E061_A_bin.16_k121_1766522_1	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E058_A_bin.18_k121_689863_31	STM_0716_E_M_E058_A_bin.18_k121_689863_31	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E054_A_bin.52_k121_177932_5	STM_0716_E_M_E054_A_bin.52_k121_177932_5	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E054_A_bin.28_k121_2421815_1	STM_0716_E_M_E054_A_bin.28_k121_2421815_1	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E054_A_bin.21_k121_4220562_15	STM_0716_E_M_E054_A_bin.21_k121_4220562_15	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E054_A_bin.21_k121_4128654_1	STM_0716_E_M_E054_A_bin.21_k121_4128654_1	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.69_k121_3443351_33	STM_0716_E_M_E050_E054_E058_A_bin.69_k121_3443351_33	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.28_k121_3657140_65	STM_0716_E_M_E050_E054_E058_A_bin.28_k121_3657140_65	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.183_k121_4885967_2	STM_0716_E_M_E050_E054_E058_A_bin.183_k121_4885967_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.171_k121_6753585_13	STM_0716_E_M_E050_E054_E058_A_bin.171_k121_6753585_13	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.148_k121_4986404_2	STM_0716_E_M_E050_E054_E058_A_bin.148_k121_4986404_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.146_k121_636412_17	STM_0716_E_M_E050_E054_E058_A_bin.146_k121_636412_17	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.141_k121_1641186_9	STM_0716_E_M_E050_E054_E058_A_bin.141_k121_1641186_9	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.118_k121_6543822_6	STM_0716_E_M_E050_E054_E058_A_bin.118_k121_6543822_6	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.118_k121_2938374_7	STM_0716_E_M_E050_E054_E058_A_bin.118_k121_2938374_7	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.111_k121_5978574_4	STM_0716_E_M_E050_E054_E058_A_bin.111_k121_5978574_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E050_E054_E058_A_bin.111_k121_3211777_2	STM_0716_E_M_E050_E054_E058_A_bin.111_k121_3211777_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_E058_E069_D_bin.93_k121_8747240_8	STM_0716_E_M_E034_E058_E069_D_bin.93_k121_8747240_8	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_E058_E069_D_bin.77_k121_909892_3	STM_0716_E_M_E034_E058_E069_D_bin.77_k121_909892_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_E058_E069_D_bin.77_k121_4897179_2	STM_0716_E_M_E034_E058_E069_D_bin.77_k121_4897179_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_E058_E069_D_bin.77_k121_2697678_1	STM_0716_E_M_E034_E058_E069_D_bin.77_k121_2697678_1	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_E058_A_bin.85_k121_713754_22	STM_0716_E_M_E034_E058_A_bin.85_k121_713754_22	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_E058_A_bin.33_k121_2653289_18	STM_0716_E_M_E034_E058_A_bin.33_k121_2653289_18	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_E058_A_bin.128_k121_3456198_3	STM_0716_E_M_E034_E058_A_bin.128_k121_3456198_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_E058_A_bin.12_k121_5095904_4	STM_0716_E_M_E034_E058_A_bin.12_k121_5095904_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_E058_A_bin.12_k121_3615863_4	STM_0716_E_M_E034_E058_A_bin.12_k121_3615863_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_A_bin.10_k121_955452_12	STM_0716_E_M_E034_A_bin.10_k121_955452_12	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_A_bin.10_k121_2595405_104	STM_0716_E_M_E034_A_bin.10_k121_2595405_104	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_A_bin.10_k121_2042154_7	STM_0716_E_M_E034_A_bin.10_k121_2042154_7	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_A_bin.1_k121_236618_6	STM_0716_E_M_E034_A_bin.1_k121_236618_6	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E034_A_bin.1_k121_1708057_1	STM_0716_E_M_E034_A_bin.1_k121_1708057_1	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E030_E054_E065_D_bin.82_k121_6291661_2	STM_0716_E_M_E030_E054_E065_D_bin.82_k121_6291661_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E030_E054_E065_D_bin.82_k121_10135067_4	STM_0716_E_M_E030_E054_E065_D_bin.82_k121_10135067_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E050_A_bin.98_k121_4110801_3	STM_0716_E_M_E026_E050_A_bin.98_k121_4110801_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_D_multi_bin.57_k121_7369993_8	STM_0716_E_M_E026_E030_E034_D_multi_bin.57_k121_7369993_8	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_D_multi_bin.57_k121_4062144_2	STM_0716_E_M_E026_E030_E034_D_multi_bin.57_k121_4062144_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_D_multi_bin.46_k121_7796814_2	STM_0716_E_M_E026_E030_E034_D_multi_bin.46_k121_7796814_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_D_multi_bin.46_k121_6132196_4	STM_0716_E_M_E026_E030_E034_D_multi_bin.46_k121_6132196_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_D_multi_bin.46_k121_5679176_2	STM_0716_E_M_E026_E030_E034_D_multi_bin.46_k121_5679176_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_D_multi_bin.46_k121_1893340_2	STM_0716_E_M_E026_E030_E034_D_multi_bin.46_k121_1893340_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_D_multi_bin.12_k121_1305298_3	STM_0716_E_M_E026_E030_E034_D_multi_bin.12_k121_1305298_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_A_multi_bin.58_k121_640814_4	STM_0716_E_M_E026_E030_E034_A_multi_bin.58_k121_640814_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_A_multi_bin.55_k121_7405643_6	STM_0716_E_M_E026_E030_E034_A_multi_bin.55_k121_7405643_6	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_A_multi_bin.55_k121_5271180_4	STM_0716_E_M_E026_E030_E034_A_multi_bin.55_k121_5271180_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_A_multi_bin.44_k121_8209102_11	STM_0716_E_M_E026_E030_E034_A_multi_bin.44_k121_8209102_11	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_A_multi_bin.110_k121_5127053_3	STM_0716_E_M_E026_E030_E034_A_multi_bin.110_k121_5127053_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_A_bin.150_k121_3568991_2	STM_0716_E_M_E026_E030_E034_A_bin.150_k121_3568991_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_E030_E034_A_bin.136_k121_6909657_43	STM_0716_E_M_E026_E030_E034_A_bin.136_k121_6909657_43	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E026_A_bin.32_k121_1195156_8	STM_0716_E_M_E026_A_bin.32_k121_1195156_8	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E001_E061_E_bin.25_k121_795448_2	STM_0716_E_M_E001_E061_E_bin.25_k121_795448_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E001_E061_A_bin.34_k121_4620399_15	STM_0716_E_M_E001_E061_A_bin.34_k121_4620399_15	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E001_E061_A_bin.20_k121_893224_5	STM_0716_E_M_E001_E061_A_bin.20_k121_893224_5	A	1	fefe_A	no	fefe_A
PMZX01_ENA_PMZX01000489_PMZX01000489.1_22	PMZX01_ENA|PMZX01000489|PMZX01000489.1_22	A	1	fefe_A	no	fefe_A
PMNP01_ENA_PMNP01000246_PMNP01000246.1_23	PMNP01_ENA|PMNP01000246|PMNP01000246.1_23	A	1	fefe_A	no	fefe_A
PMNH01_ENA_PMNH01000276_PMNH01000276.1_2	PMNH01_ENA|PMNH01000276|PMNH01000276.1_2	A	1	fefe_A	no	fefe_A
PMLA01_ENA_PMLA01000047_PMLA01000047.1_106	PMLA01_ENA|PMLA01000047|PMLA01000047.1_106	A	1	fefe_A	no	fefe_A
PMKN01_ENA_PMKN01000049_PMKN01000049.1_2	PMKN01_ENA|PMKN01000049|PMKN01000049.1_2	A	1	fefe_A	no	fefe_A
PMJF01_ENA_PMJF01000067_PMJF01000067.1_31	PMJF01_ENA|PMJF01000067|PMJF01000067.1_31	A	1	fefe_A	no	fefe_A
PMEC01_ENA_PMEC01000156_PMEC01000156.1_20	PMEC01_ENA|PMEC01000156|PMEC01000156.1_20	A	1	fefe_A	no	fefe_A
PMDY01_ENA_PMDY01000776_PMDY01000776.1_5	PMDY01_ENA|PMDY01000776|PMDY01000776.1_5	A	1	fefe_A	no	fefe_A
PMDS01_ENA_PMDS01000077_PMDS01000077.1_124	PMDS01_ENA|PMDS01000077|PMDS01000077.1_124	A	1	fefe_A	no	fefe_A
PMDS01_ENA_PMDS01000077_PMDS01000077.1_117	PMDS01_ENA|PMDS01000077|PMDS01000077.1_117	A	1	fefe_A	no	fefe_A
PMDB01_ENA_PMDB01000091_PMDB01000091.1_25	PMDB01_ENA|PMDB01000091|PMDB01000091.1_25	A	1	fefe_A	no	fefe_A
PMCM01_ENA_PMCM01000218_PMCM01000218.1_7	PMCM01_ENA|PMCM01000218|PMCM01000218.1_7	A	1	fefe_A	no	fefe_A
PMCI01_ENA_PMCI01000433_PMCI01000433.1_14	PMCI01_ENA|PMCI01000433|PMCI01000433.1_14	A	1	fefe_A	no	fefe_A
PMCE01_ENA_PMCE01000174_PMCE01000174.1_52	PMCE01_ENA|PMCE01000174|PMCE01000174.1_52	A	1	fefe_A	no	fefe_A
PMCB01_ENA_PMCB01000046_PMCB01000046.1_8	PMCB01_ENA|PMCB01000046|PMCB01000046.1_8	A	1	fefe_A	no	fefe_A
PMCA01_ENA_PMCA01000005_PMCA01000005.1_112	PMCA01_ENA|PMCA01000005|PMCA01000005.1_112	A	1	fefe_A	no	fefe_A
PMBY01_ENA_PMBY01000002_PMBY01000002.1_4	PMBY01_ENA|PMBY01000002|PMBY01000002.1_4	A	1	fefe_A	no	fefe_A
PMBX01_ENA_PMBX01000178_PMBX01000178.1_9	PMBX01_ENA|PMBX01000178|PMBX01000178.1_9	A	1	fefe_A	no	fefe_A
PMBS01_ENA_PMBS01000264_PMBS01000264.1_14	PMBS01_ENA|PMBS01000264|PMBS01000264.1_14	A	1	fefe_A	no	fefe_A
PLWQ01_ENA_PLWQ01000018_PLWQ01000018.1_25	PLWQ01_ENA|PLWQ01000018|PLWQ01000018.1_25	A	1	fefe_A	no	fefe_A
PLWQ01_ENA_PLWQ01000018_PLWQ01000018.1_14	PLWQ01_ENA|PLWQ01000018|PLWQ01000018.1_14	A	1	fefe_A	no	fefe_A
PLTW01_ENA_PLTW01000021_PLTW01000021.1_23	PLTW01_ENA|PLTW01000021|PLTW01000021.1_23	A	1	fefe_A	no	fefe_A
PLTW01_ENA_PLTW01000021_PLTW01000021.1_15	PLTW01_ENA|PLTW01000021|PLTW01000021.1_15	A	1	fefe_A	no	fefe_A
PLSJ01_ENA_PLSJ01000065_PLSJ01000065.1_10	PLSJ01_ENA|PLSJ01000065|PLSJ01000065.1_10	A	1	fefe_A	no	fefe_A
PLPO01_ENA_PLPO01000113_PLPO01000113.1_7	PLPO01_ENA|PLPO01000113|PLPO01000113.1_7	A	1	fefe_A	no	fefe_A
PLNZ01_ENA_PLNZ01000217_PLNZ01000217.1_9	PLNZ01_ENA|PLNZ01000217|PLNZ01000217.1_9	A	1	fefe_A	no	fefe_A
PLNZ01_ENA_PLNZ01000217_PLNZ01000217.1_2	PLNZ01_ENA|PLNZ01000217|PLNZ01000217.1_2	A	1	fefe_A	no	fefe_A
PLNW01_ENA_PLNW01000160_PLNW01000160.1_38	PLNW01_ENA|PLNW01000160|PLNW01000160.1_38	A	1	fefe_A	no	fefe_A
PLNT01_ENA_PLNT01000016_PLNT01000016.1_135	PLNT01_ENA|PLNT01000016|PLNT01000016.1_135	A	1	fefe_A	no	fefe_A
PLNT01_ENA_PLNT01000009_PLNT01000009.1_82	PLNT01_ENA|PLNT01000009|PLNT01000009.1_82	A	1	fefe_A	no	fefe_A
PLNR01_ENA_PLNR01000010_PLNR01000010.1_53	PLNR01_ENA|PLNR01000010|PLNR01000010.1_53	A	1	fefe_A	no	fefe_A
PLNR01_ENA_PLNR01000006_PLNR01000006.1_180	PLNR01_ENA|PLNR01000006|PLNR01000006.1_180	A	1	fefe_A	no	fefe_A
PLMQ01_ENA_PLMQ01000023_PLMQ01000023.1_56	PLMQ01_ENA|PLMQ01000023|PLMQ01000023.1_56	A	1	fefe_A	no	fefe_A
PLMK01_ENA_PLMK01000006_PLMK01000006.1_63	PLMK01_ENA|PLMK01000006|PLMK01000006.1_63	A	1	fefe_A	no	fefe_A
PLLM01_ENA_PLLM01000057_PLLM01000057.1_44	PLLM01_ENA|PLLM01000057|PLLM01000057.1_44	A	1	fefe_A	no	fefe_A
PLLE01_ENA_PLLE01000029_PLLE01000029.1_3	PLLE01_ENA|PLLE01000029|PLLE01000029.1_3	A	1	fefe_A	no	fefe_A
PKYG01_ENA_PKYG01000029_PKYG01000029.1_20	PKYG01_ENA|PKYG01000029|PKYG01000029.1_20	A	1	fefe_A	no	fefe_A
PKWP01_ENA_PKWP01000493_PKWP01000493.1_1	PKWP01_ENA|PKWP01000493|PKWP01000493.1_1	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.86_81.81_1.08_NODE_17203_length_4628_cov_14.124207_1	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.86_81.81_1.08_NODE_17203_length_4628_cov_14.124207_1	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.86_81.81_1.08_NODE_15774_length_4900_cov_16.088545_4	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.86_81.81_1.08_NODE_15774_length_4900_cov_16.088545_4	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.59_95.75_1.35_NODE_408_length_44852_cov_12.636650_28	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.59_95.75_1.35_NODE_408_length_44852_cov_12.636650_28	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.47_85.60_2.42_NODE_2509_length_15522_cov_7.080300_5	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.47_85.60_2.42_NODE_2509_length_15522_cov_7.080300_5	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.47_85.60_2.42_NODE_2509_length_15522_cov_7.080300_2	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.47_85.60_2.42_NODE_2509_length_15522_cov_7.080300_2	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.36_72.59_0.89_NODE_7505_length_7880_cov_4.728435_2	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.36_72.59_0.89_NODE_7505_length_7880_cov_4.728435_2	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.36_72.59_0.89_NODE_12615_length_5656_cov_4.581860_1	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.36_72.59_0.89_NODE_12615_length_5656_cov_4.581860_1	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.10_74.46_4.17_NODE_9404_length_2894_cov_4.182811_3	Fen.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.10_74.46_4.17_NODE_9404_length_2894_cov_4.182811_3	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.10_74.46_4.17_NODE_1058_length_10538_cov_5.403033_4	Fen.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.10_74.46_4.17_NODE_1058_length_10538_cov_5.403033_4	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.17_87.24_2.27_NODE_2686_length_7264_cov_6.683035_2	Fen.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.17_87.24_2.27_NODE_2686_length_7264_cov_6.683035_2	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.22_97.12_0.14_NODE_324_length_38487_cov_5.173866_15	Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.22_97.12_0.14_NODE_324_length_38487_cov_5.173866_15	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.22_97.12_0.14_NODE_2788_length_10516_cov_4.425294_7	Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.22_97.12_0.14_NODE_2788_length_10516_cov_4.425294_7	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.22_97.12_0.14_NODE_247_length_44182_cov_5.578739_10	Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.22_97.12_0.14_NODE_247_length_44182_cov_5.578739_10	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24_NODE_4931_length_7462_cov_5.495747_6	Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24_NODE_4931_length_7462_cov_5.495747_6	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24_NODE_4136_length_8246_cov_6.511537_3	Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24_NODE_4136_length_8246_cov_6.511537_3	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.1_83.87_1.79_NODE_5499_length_6998_cov_176.766527_3	Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.1_83.87_1.79_NODE_5499_length_6998_cov_176.766527_3	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.2_88.97_0.00_k141_92396_2	Fen.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.2_88.97_0.00_k141_92396_2	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.15_70.76_3.55_k141_29521_2	Fen.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.15_70.76_3.55_k141_29521_2	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.57_76.38_6.90_k141_569629_2	Fen.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.57_76.38_6.90_k141_569629_2	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.57_76.38_6.90_k141_1183238_6	Fen.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.57_76.38_6.90_k141_1183238_6	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.50_75.54_2.15_k141_756216_1	Fen.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.50_75.54_2.15_k141_756216_1	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.57_85.17_9.86_scaffold_621_c1_6	Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.57_85.17_9.86_scaffold_621_c1_6	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.57_85.17_9.86_scaffold_1167_c1_5	Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.57_85.17_9.86_scaffold_1167_c1_5	A	1	fefe_A	no	fefe_A
Fen.Unlabelled.R2.T1.F1.trimmomatic.megahit_bin.27_91.70_2.68_k141_1214726_11	Fen.Unlabelled.R2.T1.F1.trimmomatic.megahit_bin.27_91.70_2.68_k141_1214726_11	A	1	fefe_A	no	fefe_A
